id,file,node,lineNumber,metadata
line:0985616,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,31,emotion:Normal
line:09e02d9,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,36,emotion:Happy
line:02a5671,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,61,emotion:Angry
line:0ca252b,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,66,emotion:Normal
line:004f5da,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Parque.yarn,Roda_Gigante,45,emotion:Angry
line:0b43d56,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Parque.yarn,Roda_Gigante,50,emotion:Happy
line:00803fc,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Parque.yarn,Roda_Gigante,96,emotion:Happy
line:0702513,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Praca.yarn,Fogos_De_Artificio,88,emotion:Normal
line:01d1899,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Praca.yarn,Fogos_De_Artificio,93,emotion:Sad
line:0cacb49,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Praia.yarn,Praia,9,emotion:Normal
line:0d0165e,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Praia.yarn,Praia,14,emotion:Happy
line:03ce82d,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Praia.yarn,Praia,104,emotion:Sad
line:0e45e79,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Praia.yarn,Praia,109,emotion:Normal
line:0cdc144,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Shopping1.yarn,Start_Shopping,30,emotion:Angry
line:0b2d59f,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Shopping1.yarn,Start_Shopping,35,emotion:Normal
line:0031dcb,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\TestEmotions.yarn,EscolhaTeste,29,lastline
