language,id,text,file,node,lineNumber,lock,comment
pt,line:0b9a93b,"Ian: Eu trouxe vários filmes pra gente poder escolher,",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,8,bb35d325,
pt,line:091918c,Ian: maaas eu acho que eu sou o com o melhor gosto.,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,11,dbd111b0,
pt,line:0fbb18f,"Melissa: Ai tá bom Ian, tu sempre diz isso.",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,14,cc5c8e05,
pt,line:079a72d,Ian: Não é minha culpa se é verdade e vocês não sabem apreciar o meu ótimo gosto.,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,17,9d6ed960,
pt,line:0ebeced,Lucas: Da última que você escolheu a gente assistiu um filme esquistito.,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,20,92088342,
pt,line:0291c79,Lucas: Aquele dos alienígenas que falavam “yatataya”,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,23,b2367f7b,
pt,line:082c775,Ian: Você disse que gostou do Júpiter ataca!,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,26,f9c695f3,
pt,line:075180d,"Lucas: Não é ruim, só é estranho.",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,29,ffb5760d,
pt,line:0985616,"Sabrina: Por mais que eu goste muito, acho que chega de ficção científica.",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,31,1a138c42,Line metadata: emotion:Normal
pt,line:09e02d9,Sabrina: Não ataque os filmes do Ian! Eles são os melhores.,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,36,bc62cbd5,Line metadata: emotion:Happy
pt,line:0b37ec2,"Melissa: Sem filmes de et, por favor.",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,43,26230975,
pt,line:0b7e227,Melissa: Vamos ver algo com mistério e sei lá um assassino e detetives.,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,46,f76a2b02,
pt,line:08ae892,"Lucas: Sem essa, Mel!",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,49,b14db04e,
pt,line:0ea347f,Lucas: Esses filmes me dão medo.,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,52,c3e7ad51,
pt,line:0580a0f,"Ian: Ah, fala sério Lucas!",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,55,cc6c26f3,
pt,line:0fb2e6a,Melissa: Ei! Sem zombar do meu namorado!,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,58,00dbd892,
pt,line:043e6c8,"Melissa: Você não tem medinho de filme mesmo, né?",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,59,f832e352,
pt,line:02a5671,"Sabrina: Eu tô com o Lucas, sem filmes de medo!",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,61,49d8e324,Line metadata: emotion:Angry
