language,id,text,file,node,lineNumber,lock,comment
en,line:0b9a93b,"Ian: I got a lot of movies for us to pick and watch,",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,8,bb35d325,
en,line:091918c,Ian: Buuut I think I have the best taste.,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,11,dbd111b0,
en,line:0fbb18f,"Melissa: Sure, Ian. You always say that.",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,14,cc5c8e05,
en,line:079a72d,Ian: It's not my fault if it's true and you guys just can't appreciate my great taste.,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,17,9d6ed960,
en,line:0ebeced,"Lucas: Last time you picked, we ended up watching a weird movie.",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,20,92088342,
en,line:0291c79,"Lucas: The one where the aliens say ""yatataya"".",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,23,b2367f7b,
en,line:082c775,Ian: You said you liked Jupiter Attacks!,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,26,f9c695f3,
en,line:075180d,"Lucas: It's not bad, it's just weird.",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,29,ffb5760d,
en,line:0985616,"Sabrina: Although I like it very much, I think we're done with sci-fi.",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,31,1a138c42,Line metadata: emotion:Normal
en,line:09e02d9,Sabrina: Don't attack Ian's movies! They're the best.,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,36,bc62cbd5,Line metadata: emotion:Happy
en,line:0b37ec2,"Melissa: No alien movies, please.",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,43,26230975,
en,line:0b7e227,"Melissa: Let's watch something mysterious, I don't know, a murderer and detectives.",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,46,f76a2b02,
en,line:08ae892,"Lucas: No way, Mel!",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,49,b14db04e,
en,line:0ea347f,Lucas: That kind of movie scares me.,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,52,c3e7ad51,
en,line:0580a0f,"Ian: Come on, Lucas!",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,55,cc6c26f3,
en,line:0fb2e6a,Melissa: Hey! Don't mock my boyfriend!,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,58,00dbd892,
en,line:043e6c8,"Melissa: You're not really afraid of scary movies, are you?",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,59,f832e352,
en,line:02a5671,"Sabrina: I'm with Lucas on this, no scary movies!",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,61,49d8e324,Line metadata: emotion:Angry
en,line:0ca252b,"Sabrina: I'm not a fan but, if everyone wants to, we can watch one.",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,66,a6ad29f7,Line metadata: emotion:Normal
en,line:0cfe6aa,"Melissa: Luke, what do you wanna watch?",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,73,d2a09af4,
en,line:092802b,Lucas: We could watch Madre Mia!,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,76,4d1bdd57,
en,line:02b05de,Ian: No fucking way!,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,79,97a510ff,
en,line:06e56e2,Ian: We've watched that a bazillion times!,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,82,a45b3f5c,
en,line:0775145,"Melissa: For real, how many times have you watched that on your own?",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,85,991f40dc,
en,line:0439025,Lucas: That's not important.,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,88,05ca188b,
en,line:0ee77ea,"Ian: If you're gonna be like that, I'm gonna choose a random movie.",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,91,22d49b5b,
en,line:0307821,Ian: It could be a children's movie!,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,94,1311ed25,
en,line:0ea47c1,"Melissa: Hold on, Ian!",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,97,c479e625,
en,line:03bf585,"Melissa: Sabrina, what do you think we should watch?",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Casa.yarn,Start,100,e1abf6bc,
en,line:003a1bb,Lucas: That was so cool. I'm glad we watched it.,C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Feedback1.yarn,Feedback_Corajoso_Event1,6,7a3af73d,
en,line:026f6ed,"Ian: Yeah, I liked it too.",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Feedback1.yarn,Feedback_Corajoso_Event1,9,a1bd5966,
en,line:069b869,"Ian: I taught you how to pick a great movie, right, Brina?",C:\Users\Debs\Casulo-Indie_GIT\4Seasons\Assets\_Sources\Dialogue\Yarn\Files\Feedback1.yarn,Feedback_Corajoso_Event1,12,92d7d537,
